,曲目,曲师,难度,定数,分数,ptt,评级,离线,20211226
1,Dreadnought,Mastermind (xi + nora2r),FTR,9.8,9932736,11.46,EX+,,
2,trappola bewitching,gmtn.,FTR,10.0,9871543,11.36,EX,,
3,Fracture Ray,Sakuzyo,PRS,9.5,9960304,11.3,EX+,,
4,A Wandering Melody of Love,からとPαnchii少年 feat.はるの,FTR,9.7,9920254,11.3,EX+,,
5,BLRINK,Sta,FTR,9.7,9917090,11.29,EX+,,
6,Illegal Paradise,gmtn. (witch's slave),FTR,9.6,9934965,11.27,EX+,,9934965.0
7,MAHOROBA,Zekk,FTR,9.5,9952446,11.26,EX+,,9952446.0
8,Dreamin' Attraction!!,翡乃イスカ,FTR,9.6,9925697,11.23,EX+,,
9,Avant Raze,Sampling Masters MEGA,FTR,9.6,9921046,11.21,EX+,,
10,Sulfur,ぺのれり,FTR,9.7,9890876,11.15,EX,,
11,Crystal Gravity,Tanchiky vs. siromaru,FTR,9.4,9949169,11.15,EX+,,
12,Sheriruth,Team Grimoire,FTR,10.2,9783757,11.15,AA,,
13,AI[UE]OON,MYUKKE.,FTR,9.5,9930066,11.15,EX+,,
14,Memory Forest,ETIA.,FTR,9.8,9867941,11.14,EX,,
15,Impure Bird,MIssionary,FTR,9.4,9944832,11.12,EX+,,
16,The Message,Jun Kuroda,FTR,9.7,9884945,11.12,EX,,
17,Evening in Scarlet,Freezer feat.妃苺,FTR,9.5,9924902,11.12,EX+,,
18,DataErr0r,Cosmograph,FTR,9.5,9922257,11.11,EX+,9927529.0,
19,Lapis,SHIKI,FTR,9.4,9941033,11.11,EX+,,
20,CROSS†OVER,HyuN feat. LyuU,FTR,9.4,9936997,11.08,EX+,,
21,Faint Light (Arcaea Edit),Taishi,FTR,9.1,9994535,11.07,EX+,,
22,Iconoclast,Yamajet,FTR,9.1,9994460,11.07,EX+,,
23,Astral tale,Noah,FTR,9.6,9893321,11.07,EX,,
24,Yosakura Fubuki,A.SAKA,FTR,9.4,9930984,11.05,EX+,,
25,ΟΔΥΣΣΕΙΑ,Sober Bear,FTR,9.5,9909415,11.05,EX+,,
26,Syro,Mitomoro,FTR,9.3,9948882,11.04,EX+,,
27,Cybernecia Catharsis,Tanchiky,FTR,9.5,9905635,11.03,EX+,,
28,SAIKYO STRONGER,REDALiCE vs USAO,PRS,9.4,9925957,11.03,EX+,,
29,BATTLE NO.1,TANO*C Sound Team,FTR,9.7,9861742,11.01,EX,,
30,Blocked Library,影虎。,FTR,9.3,9941955,11.01,EX+,,
31,Flyburg and Endroll,アリスシャッハと魔法の楽団,FTR,9.0,10000899,11.0,PM,,
32,Heavensdoor,LeaF,FTR,9.9,9819283,11.0,EX,,
33,Red and Blue,Silentroom,FTR,9.4,9917955,10.99,EX+,,
34,Vicious Heroism,Kobaryo,FTR,10.0,9796594,10.99,AA,,
35,Feels So Right feat. Renko,Mysteka,FTR,9.3,9937501,10.99,EX+,,
36,Empire of Winter,Street,FTR,9.0,9995422,10.98,EX+,,
37,#1f1e33,かめりあ(EDP),PRS,9.2,9952953,10.96,EX+,,
38,Blue Rose,Cosmograph,FTR,9.1,9969446,10.95,EX+,,
39,Ignotus,ak+q,FTR,9.3,9927586,10.94,EX+,,
40,Alice's Suitcase,Endorfin.,FTR,9.1,9965863,10.93,EX+,,
41,Grievous Lady,Team Grimoire vs Laur,PRS,9.3,9925714,10.93,EX+,,
42,Chronostasis,黒皇帝,FTR,9.1,9962608,10.91,EX+,,
43,Auxesia,ginkiha,FTR,9.3,9920889,10.9,EX+,,
44,Give Me a Nightmare,アリスシャッハと魔法の楽団,FTR,9.0,9979802,10.9,EX+,,
45,Rugie,Feryquitous feat.Sennzai,FTR,9.2,9939367,10.9,EX+,,
46,Blaster,Massive New Krew,FTR,9.3,9916060,10.88,EX+,,
47,Jump,Rasmus Faber,FTR,9.0,9971007,10.86,EX+,,
48,Vindication,Laur,FTR,9.6,9852134,10.86,EX,,
49,Lumia,sky_delta,BYD,9.5,9865578,10.83,EX,,
50,Kanagawa Cyber Culvert,南ゆに,FTR,9.0,9965047,10.83,EX+,,
51,Libertas,Zekk,FTR,9.2,9926895,10.83,EX+,,
52,7thSense,削除,FTR,9.9,9773724,10.81,AA,,
53,Vivid Theory,ak+q,FTR,8.8,10000849,10.8,PM,,
54,Alice à la mode,Masanori Akita,FTR,9.2,9920473,10.8,EX+,,
55,Antithese,Blacklolita,FTR,8.8,10000845,10.8,PM,,
56,VECTOЯ,WHITEFISTS,FTR,9.4,9874141,10.77,EX,,
57,La'qryma of the Wasteland,DJ Noriken,FTR,9.1,9932839,10.76,EX+,,
58,Oracle,TQ☆,FTR,9.3,9891811,10.76,EX,,
59,Lethaeus,Silentroom,FTR,9.7,9811867,10.76,EX,,
60,Specta,Junk,FTR,9.5,9850350,10.75,EX,,
61,Essence of Twilight,ak+q,FTR,9.1,9926342,10.73,EX+,,
62,Lost Civilization,Laur vs CK,FTR,9.2,9904458,10.72,EX+,,
63,Teriqma,owl*tree,FTR,9.4,9863270,10.72,EX,,
64,Quon,Feryquitous,FTR,9.7,9804062,10.72,EX,,
65,GOODTEK (Arcaea Edit),EBIMAYO,FTR,9.3,9882037,10.71,EX,,
66,Surrender,void,FTR,8.8,9979233,10.7,EX+,,
67,Quon,DJ Noriken,FTR,8.7,10000708,10.7,PM,,
68,Anökumene,Jun Kuroda,FTR,9.2,9900832,10.7,EX+,,
69,Maze No.9,アリスシャッハと魔法の楽団,FTR,8.9,9955544,10.68,EX+,,
70,ReviXy,ikaruga_nex,FTR,9.0,9934098,10.67,EX+,,
71,Party Vinyl,モリモリあつし,FTR,9.5,9831924,10.66,EX,,
72,next to you,uma feat. 橘花音,FTR,8.8,9970377,10.65,EX+,,
73,Corruption,3R2,FTR,9.9,9718870,10.63,AA,,
74,Life is PIANO,Junk,FTR,9.1,9904110,10.62,EX+,,
75,qualia -ideaesthesia-,nitro,FTR,9.1,9903095,10.62,EX+,,
76,Your voice so... feat. Such,PSYQUI,FTR,9.4,9837959,10.59,EX,,
77,Let you DIVE! (nitro rmx),nitro (lowiro),FTR,9.2,9877015,10.59,EX,,
78,Final Step!,Lime,FTR,9.4,9835215,10.58,EX,,
79,Call My Name feat. Yukacco,Mameyudoufu,FTR,8.7,9973731,10.57,EX+,,
80,STAGER (ALL STAGE CLEAR),Ras,FTR,9.5,9811651,10.56,EX,,
81,Small Cloud Sugar Candy,テヅカ x Aoi feat.桃雛なの,FTR,9.1,9892002,10.56,EX,,
82,Beside You,江口孝宏,FTR,8.7,9972170,10.56,EX+,,
83,Equilibrium,Maozon,FTR,9.4,9827306,10.54,EX,,
84,Particle Arts,Virtual Self,FTR,8.8,9946754,10.53,EX+,,
85,Alexandrite,WAiKURO,FTR,10.0,9659469,10.53,AA,,
86,Black Territory,DJ Myosuke,FTR,9.7,9749963,10.53,AA,,
87,amygdata,nitro,FTR,9.6,9775832,10.52,AA,,
88,Flashback,ARForest,FTR,8.8,9942347,10.51,EX+,,
89,Grimheart,Puru,FTR,8.6,9980026,10.5,EX+,,
90,world.execute(me);,Mili,FTR,8.5,9989038,10.45,EX+,,
91,Heart Jackin',Yu_Asahina,FTR,9.7,9722100,10.44,AA,,
92,Solitary Dream,ak+q feat. Sennzai,FTR,8.8,9928850,10.44,EX+,,
93,nέο κόsmo,ak+q × Street,FTR,9.7,9719976,10.43,AA,,
94,Silent Rush,Soleily,FTR,8.6,9963674,10.42,EX+,,
95,Harutopia ~Utopia of Spring~,A-zu-ra,FTR,8.5,9982146,10.41,EX+,,
96,Gekka (Short Version),Nhato,FTR,8.6,9957888,10.39,EX+,,
97,Glow,SPACELECTRO,FTR,9.3,9815182,10.38,EX,,
98,PRAGMATISM,Laur,PRS,8.6,9953971,10.37,EX+,,
99,Senkyou,MYTK,FTR,8.7,9933414,10.37,EX+,,
100,Axium Crisis,ak+q,PRS,8.5,9972830,10.36,EX+,,
101,FREEF4LL,YUKIYANAGI,FTR,8.6,9952046,10.36,EX+,,
102,Fairytale,chitose,BYD,9.5,9759371,10.36,AA,,
103,Chelsea,7mai,FTR,8.5,9969812,10.35,EX+,,
104,Lumia,sky_delta,FTR,8.4,9990486,10.35,EX+,,
105,SOUNDWiTCH,HATE,FTR,9.9,9631173,10.34,AA,,
106,False Embellishment,影虎。 & ikaruga_nex,FTR,9.3,9804729,10.32,EX,,
107,Lights of Muse,Ayatsugu_Otowa,FTR,8.7,9922937,10.31,EX+,,
108,enchanted love,linear ring,FTR,8.4,9980935,10.3,EX+,,
109,Bookmaker (2D Version),Kobaryo,FTR,8.3,10001072,10.3,PM,,
110,Dot to Dot feat. shully,Mameyudoufu,FTR,8.3,10000705,10.3,PM,,
111,Overwhelm,xi,PRS,8.5,9957609,10.29,EX+,,
112,Tempestissimo,t+pazolite,PRS,9.5,9734903,10.28,AA,,
113,Cyaegha,USAO,PRS,8.4,9975513,10.28,EX+,,
114,REconstruction,Ryazan,FTR,8.4,9976534,10.28,EX+,,
115,MERLIN,REDALiCE,FTR,8.9,9874207,10.27,EX,,
116,Shades of Light in a Transcendent Realm,ak+q,FTR,8.3,9991642,10.26,EX+,,
117,Purgatorium,お月さま交響曲,FTR,8.4,9970354,10.25,EX+,,
118,CROSS†SOUL,HyuN feat. Syepias,FTR,9.4,9751158,10.24,AA,,
119,Paper Witch,Yu-dachi,FTR,8.7,9906114,10.23,EX+,,
120,Ringed Genesis,Edelritter,PRS,8.4,9965890,10.23,EX+,,
121,Oblivia,Saiph,FTR,8.3,9985185,10.23,EX+,,
122,Misdeed -la bonté de Dieu et l'origine du mal-,光吉猛修 VS 穴山大輔,PRS,8.5,9944894,10.22,EX+,,
123,1F√,WHITEFISTS,FTR,8.2,10000711,10.2,PM,,
124,Eccentric Tale,Yamajet,FTR,8.4,9959675,10.2,EX+,,
125,Dantalion,Team Grimoire,PRS,8.2,10000811,10.2,PM,,
126,Moonheart,翡乃イスカ,FTR,8.4,9958610,10.19,EX+,,
127,cry of viyella,Laur,FTR,8.5,9937478,10.19,EX+,,
128,Babaroque,cYsmix,FTR,8.5,9938809,10.19,EX+,,
129,Ether Strike,Akira Complex,PRS,8.3,9976879,10.18,EX+,,
130,Reinvent,Sound Souler,FTR,8.5,9936198,10.18,EX+,,
131,Aegleseeker,Silentroom vs Frums,PRS,8.8,9875551,10.18,EX,,
132,blue comet,ああああ,FTR,8.2,9994264,10.17,EX+,,
133,Nhelv,Silentroom,FTR,9.9,9567699,10.13,AA,,
134,Genesis,Iris,FTR,8.2,9979627,10.1,EX+,,
135,Modelista,HiTECH NINJA,FTR,10.0,9525494,10.08,AA,,
136,Rabbit In The Black Room,Rabbit House,FTR,8.4,9935903,10.08,EX+,,
137,Purgatorium,お月さま交響曲,BYD,9.6,9639238,10.06,AA,,
138,Turbocharger,A/I,FTR,8.9,9832282,10.06,EX,,
139,Tie me down gently,溝口ゆうま feat. 大瀬良あい,FTR,8.3,9952313,10.06,EX+,,
140,Monochrome Princess,polysha,FTR,9.6,9636254,10.05,AA,,
141,April showers,cubesato,FTR,8.3,9950409,10.05,EX+,,
142,Cosmica,Nhato,FTR,8.2,9968386,10.04,EX+,,
143,Snow White,Puru,FTR,8.4,9924204,10.02,EX+,,
144,Dandelion,Farhan,FTR,8.5,9903090,10.02,EX+,,
145,Ascent,TANUKI,FTR,9.8,9560982,10.0,AA,,
146,Got hive of Ra,E.G.G.,FTR,9.8,9553505,9.98,AA,,
147,Evoltex (poppi'n mix),Arch vs n3pu,FTR,8.9,9813581,9.97,EX,,
148,IZANA,t+pazolite vs P*Light,PRS,8.3,9934969,9.97,EX+,,
149,Hall of Mirrors,Sta,FTR,8.2,9950695,9.95,EX+,,
150,Lucifer,chitose,FTR,8.2,9948522,9.94,EX+,,
151,Halcyon,xi,PRS,8.2,9947828,9.94,EX+,,
152,One Last Drive,REDSHiFT,FTR,8.2,9944314,9.92,EX+,,
153,REKKA RESONANCE,REDALiCE vs Kobaryo,PRS,8.3,9910562,9.85,EX+,,
154,Coastal Highway,Glitch Droids,FTR,8.6,9850351,9.85,EX,,
155,Lazy Addiction,sky_delta,FTR,9.4,9632262,9.84,AA,,
156,Vandalism,Ashrount,FTR,9.7,9536320,9.82,AA,,
157,Journey,ARForest,FTR,8.6,9840383,9.8,EX,,
158,Einherjar Joker,DJ Genki vs Gram,FTR,9.8,9483202,9.74,A,,
159,GENOCIDER,DJ Myosuke,PRS,8.5,9844800,9.72,EX,,
160,next to you,uma feat. 橘花音,BYD,9.6,9466178,9.49,A,,
161,SUPERNOVA,BACO,FTR,9.8,9399682,9.47,A,,
162,Strongholds,Yooh,FTR,9.2,9566914,9.42,AA,,
163,Antagonism,Yooh vs. siromaru,FTR,9.9,9335322,9.35,A,,
164,Vexaria,ak+q,BYD,8.8,9631204,9.24,AA,,
165,memoryfactory.lzh,Frums,FTR,8.9,9583815,9.18,AA,,
166,Purple Verse,Hommarju,FTR,9.5,9384920,9.12,A,,
167,Halcyon,xi,FTR,10.7,9022857,9.11,B,,
168,PRAGMATISM,Laur,FTR,10.1,9188594,9.06,B,,
169,conflict,siromaru + cranky,FTR,10.1,9148467,8.93,B,,
170,Dement ~after legend~,Cosmograph,BYD,9.9,9207502,8.93,A,,
171,LunarOrbit -believe in the Espebranch road-,Apo11o program ft. 大瀬良あい,FTR,9.6,9291931,8.91,A,,
172,with U,t+pazolite & Massive New Krew feat. リリィ(CV:青木志貴),FTR,9.4,9340829,8.87,A,,
173,DX Choseinou Full Metal Shojo,IOSYS TRAX (uno with.ちよこ),FTR,9.8,9158951,8.66,B,,
174,dropdead,Frums,FTR,9.1,9344535,8.58,A,,
175,OMAKENO Stroke,t+pazolite,FTR,9.5,9200859,8.5,A,,
176,Singularity,ETIA.,FTR,10.7,8797108,8.36,C,,
177,Infinity Heaven,HyuN,BYD,9.6,9123368,8.34,B,,
